Name,Height,CanopyCover,DBH
Tilia cordata,4.5,7.1,8.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,4.0,3.1,7.0
Tilia cordata,6.0,28.3,18.0
Tilia cordata,7.0,28.3,17.0
Tilia cordata,7.0,28.3,17.0
Tilia cordata,7.0,19.6,14.0
Tilia cordata,4.5,7.1,8.0
Tilia cordata,4.5,4.9,10.0
Tilia cordata,4.5,0.8,8.0
Tilia cordata,4.5,3.1,8.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,4.5,7.1,8.0
Tilia cordata,2.0,0.8,8.0
Tilia cordata,4.5,3.1,7.0
Tilia cordata,4.5,3.1,7.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,4.5,4.9,9.0
Tilia cordata,4.5,4.9,10.0
Tilia cordata,4.5,4.9,10.0
Tilia cordata,5.0,4.9,10.0
Tilia cordata,4.5,4.9,10.0
Tilia cordata,5.0,4.9,11.0
Tilia cordata,5.0,4.9,11.0
Tilia cordata,5.0,4.9,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,7.1,11.0
Tilia cordata,5.0,4.9,11.0
Tilia cordata,5.0,4.9,11.0
Tilia cordata,6.0,12.6,13.0
Tilia cordata,6.0,12.6,13.0
Tilia cordata,6.0,19.6,19.0
Carpinus betulus,4.5,3.1,11.0
Carpinus betulus,4.0,1.8,11.0
Carpinus betulus,5.0,12.6,11.0
Carpinus betulus,4.5,7.1,10.0
Tilia cordata,5.0,12.6,10.0
Tilia cordata,5.0,12.6,10.0
Tilia cordata,4.0,12.6,10.0
Tilia cordata,5.0,12.6,10.0
Tilia cordata,5.0,12.6,10.0
Tilia cordata,5.0,12.6,10.0
Carpinus betulus,4.0,7.1,11.0
Carpinus betulus,4.0,7.1,11.0
Carpinus betulus,4.5,12.6,12.0
Celtis australis,6.0,28.3,16.0
Celtis australis,6.0,28.3,16.0
Celtis australis,6.0,28.3,166.0
Celtis australis,5.5,19.6,14.0
Celtis australis,6.5,28.3,16.0
Celtis australis,4.5,19.6,19.0
Celtis australis,5.0,19.6,17.0
Celtis australis,4.5,19.6,17.0
Celtis australis,4.5,19.6,15.0
Celtis australis,4.0,12.6,15.0
Celtis australis,4.0,12.6,14.0
Celtis australis,4.0,12.6,14.0
Celtis australis,4.0,12.6,14.0
Celtis australis,4.0,12.6,14.0
Celtis australis,4.0,12.6,13.0
Tilia cordata,8.0,28.3,15.0
Tilia cordata,8.0,28.3,15.0
Tilia cordata,10.0,50.3,24.0
Celtis australis,9.0,153.9,38.0
Celtis australis,8.0,113.1,32.0
Celtis australis,8.0,113.1,32.0
Platanus x hispanica,15.0,63.6,40.0
Tilia cordata,7.0,28.3,18.0
Tilia cordata,7.0,28.3,18.0
Tilia cordata,7.0,28.3,18.0
Tilia cordata,7.0,28.3,18.0
Tilia cordata,7.0,28.3,18.0
Tilia cordata,6.0,19.6,15.0
Tilia cordata,6.0,19.6,15.0
Tilia cordata,6.0,12.6,15.0
Tilia cordata,6.0,19.6,15.0
Tilia cordata,7.0,28.3,19.0
Tilia cordata,7.0,28.3,19.0
Tilia cordata,7.0,28.3,19.0
Tilia cordata,7.0,19.6,14.0
Tilia cordata,6.0,12.6,15.0
Tilia cordata,6.0,12.6,10.0
Tilia cordata,8.0,28.3,18.0
Tilia cordata,8.0,12.6,15.0
Tilia cordata,8.0,12.6,15.0
Tilia cordata,8.0,12.6,15.0
Tilia cordata,8.0,12.6,18.0
Tilia cordata,8.0,12.6,18.0
Tilia cordata,5.0,7.1,9.0
Tilia cordata,7.0,12.6,17.0
Tilia cordata,5.0,7.1,13.0
Tilia cordata,7.0,12.6,13.0
Carpinus betulus,12.0,7.1,20.0
Carpinus betulus,12.0,7.1,20.0
Carpinus betulus,12.0,7.1,20.0
Carpinus betulus,8.0,7.1,20.0
Carpinus betulus,8.0,7.1,20.0
Carpinus betulus,8.0,7.1,20.0
Carpinus betulus,6.0,7.1,10.0
Carpinus betulus,6.0,7.1,10.0
Carpinus betulus,6.0,7.1,10.0
Carpinus betulus,6.0,7.1,10.0
Carpinus betulus,6.0,7.1,10.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,6.0,3.1,4.0
Carpinus betulus,8.0,7.1,10.0
Carpinus betulus,6.0,7.1,20.0
Carpinus betulus,4.0,7.1,10.0
Carpinus betulus,15.0,12.6,25.0
Carpinus betulus,15.0,12.6,35.0
Carpinus betulus,15.0,7.1,10.0
Carpinus betulus,8.0,7.1,10.0
Carpinus betulus,15.0,12.6,20.0
Carpinus betulus,8.0,7.1,10.0
Carpinus betulus,8.0,12.6,15.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
Carpinus betulus,4.0,1.8,7.0
